"ProjectName","File","Line","Match","Context"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","14","Bluetooth","<!-- Bluetooth : compat pré-Android 12 + autorisation Android 12+ (CONNECT) -->"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","15","BLUETOOTH","<uses-permission android:name=""android.permission.BLUETOOTH"" />"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","14","Bluetooth","<!-- Bluetooth : compat pré-Android 12 + autorisation Android 12+ (CONNECT) -->"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","15","BLUETOOTH","<uses-permission android:name=""android.permission.BLUETOOTH"" />"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\res\layout\activity_main.xml","1","WebRTC","<LinearLayout android:orientation=""vertical"" android:padding=""16dp"" android:layout_width=""match_parent"" android:layout_height=""match_parent"" xmlns:android=""http://schemas.android.com/apk/res/android""><Button android:id=""@+id/btnStart"" android:text=""Démarrer aide auditive"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Button android:id=""@+id/btnStop"" android:text=""Arrêter"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" android:enabled=""false"" android:layout_marginTop=""8dp"" /><Switch android:id=""@+id/swHighpass"" android:text=""Coupe-bas (100 Hz)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" android:layout_marginTop=""16dp"" /><Switch android:id=""@+id/swAndroidNS"" android:text=""Réduction bruit Android (NS)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Switch android:id=""@+id/swAndroidAGC"" android:text=""AGC Android"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Switch android:id=""@+id/swAndroidAEC"" android:text=""Anti-écho Android (AEC)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Switch android:id=""@+id/swApmEnable"" android:text=""WebRTC APM (activer)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" android:layout_marginTop=""16dp"" /><Switch android:id=""@+id/swApmNS"" android:text=""APM – Réduction de bruit (NS)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Switch android:id=""@+id/swApmAGC"" android:text=""APM – AGC (gain auto)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><Switch android:id=""@+id/swApmAEC"" android:text=""APM – Anti-écho (AEC)"" android:checked=""true"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><TextView android:text=""Clarity boost (tilt EQ +2–3 dB à 2–4 kHz)"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" android:layout_marginTop=""16dp"" /><SeekBar android:id=""@+id/seekClarity"" android:max=""10"" android:progress=""3"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" /><TextView android:id=""@+id/txtLatency"" android:text=""Latence estimée: — ms"" android:layout_width=""match_parent"" android:layout_height=""wrap_content"" android:layout_marginTop=""8dp"" /></LinearLayout>"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","14","Bluetooth","<!-- Bluetooth : compat pré-Android 12 + autorisation Android 12+ (CONNECT) -->"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","15","BLUETOOTH","<uses-permission android:name=""android.permission.BLUETOOTH"" />"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\Properties\AndroidManifest.xml","16","Bluetooth","<!-- Bluetooth :"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\Properties\AndroidManifest.xml","20","BLUETOOTH","<uses-permission android:name=""android.permission.BLUETOOTH"" android:maxSdkVersion=""30"" />"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\Properties\AndroidManifest.xml","26","Bluetooth","<!-- (Optionnel) Si tu scannes des appareils Bluetooth sur Android 12+ :"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\Resources\layout\activity_main.xml","23","WebRTC","android:text=""WebRTC APM (activer)"""
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","10","AudioRecord","AudioRecord _rec;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","11","AudioTrack","AudioTrack _play;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","14","SCO","int _sr = 16000;              // 16 kHz (profil SCO téléphonie)"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","46","AudioRecord","int min = AudioRecord.GetMinBufferSize(_sr, ChannelIn.Mono, Encoding.Pcm16bit);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","49","AudioRecord","_rec = new AudioRecord("
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","61","AudioTrack","int min = AudioTrack.GetMinBufferSize(_sr, ChannelOut.Mono, Encoding.Pcm16bit);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","75","AudioTrack","_play = new AudioTrack("
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\AudioEngine.cs","80","AudioManager","AudioManager.AudioSessionIdGenerate);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","28","AudioRecord","AudioRecord recorder;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","29","AudioTrack","AudioTrack player;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","30","NoiseSuppressor","NoiseSuppressor ns;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","31","AutomaticGainControl","AutomaticGainControl agc;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","32","AcousticEchoCanceler","AcousticEchoCanceler aec;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","33","WebRTC","ApmWrapper apm; // ← WebRTC APM"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","118","AudioManager","var am = (AudioManager)GetSystemService(AudioService);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","134","AudioRecord","int minInBytes = AudioRecord.GetMinBufferSize(sampleRate, inChan, pcm);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","136","AudioRecord","recorder = new AudioRecord(AudioSource.VoiceRecognition, sampleRate, inChan, pcm, inBufBytes);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","144","NoiseSuppressor;NoiseSuppressor","ns = (swNS.Checked && NoiseSuppressor.IsAvailable) ? NoiseSuppressor.Create(sess) : null;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","145","AutomaticGainControl;AutomaticGainControl","agc = (swAGC.Checked && AutomaticGainControl.IsAvailable) ? AutomaticGainControl.Create(sess) : null;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","146","AcousticEchoCanceler;AcousticEchoCanceler","aec = (swAEC.Checked && AcousticEchoCanceler.IsAvailable) ? AcousticEchoCanceler.Create(sess) : null;"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","151","AudioTrack","int minOutBytes = AudioTrack.GetMinBufferSize(sampleRate, outChan, pcm);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","165","AudioTrack","var playerBuilder = new AudioTrack.Builder()"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","247","AudioManager","var am = (AudioManager)GetSystemService(AudioService);"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","257","AudioManager","void TryPreferBuiltinMic(AudioManager am)"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","276","AudioManager","void TryPreferBluetoothOut(AudioManager am)"
"Buds3ProAideAuditiveIA.v2","Buds3ProAideAuditiveIA.v2\MainActivity.cs","403","AudioManager","var am = (AudioManager)GetSystemService(AudioService);"
