"Manifest","Project","Permission","Present"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","True"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\android\manifest\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\41\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\42\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\43\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\44\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\45\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\46\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\47\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\48\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\49\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\50\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\51\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\52\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\53\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\54\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\55\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\56\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\57\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\58\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\59\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\60\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_PRIVILEGED","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\61\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.RECORD_AUDIO","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\61\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.MODIFY_AUDIO_SETTINGS","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\61\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\61\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_ADMIN","False"
"Buds3ProAideAuditiveIA.v2\obj\Debug\130\lp\61\jl\AndroidManifest.xml","Buds3ProAideAuditiveIA.v2","android.permission.BLUETOOTH_CONNECT","False"
